VMap 3.1 is filtered by 80% reliable site library, heterozygosity < 0.05, missing rate < 0.2 from VMap 3.0. 

VMap 3.1 includs 1196 hexaploid wheat (AABBDD genome), 212 tetraploid wheat (AABB genome), and 220 Ae. tauschii (DD genome).
											
VMap 3.1 have a total of 365,999,813 variants including both biallelic SNPs and Indels.			
											
Contact											
yf.guo@genetics.ac.cn (Yafei Guo); songxycc@gmail.com (Xinyue Song); flu@genetics.ac.cn (Fei Lu)					
"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"								
Homepage: https://plantgeneticslab.github.io/home/											
											
											
I. Genetic variation summary											
================================================											
																	
Chr(42)	Chr(21)	Chr_Part	Length	Pos_StartIndex(Inclusive)	Pos_EndIndex(Exclusive)	TotalVariants	N_BiSNPs	N_BiD	N_BiI	TiSNP	TiD	TiI	TiDI	Num_taxa
1	chr1A	chr1A_part1	471304005	0	471304005	14990790	14197253	326751	138914	258177	27466	21617	20612	1408
2	chr1A	chr1A_part2	122798051	471304005	594102056	3924885	3656923	104393	44322	94080	10971	8438	5758	1408
3	chr1B	chr1B_part1	438720154	0	438720154	14302124	13454884	320313	142505	306560	31604	25607	20651	1408
4	chr1B	chr1B_part2	251131716	438720154	689851870	8240294	7705730	196357	83314	205969	21483	16401	11040	1408
5	chr1D	chr1D_part1	452179604	0	452179604	7151253	6684619	223762	113348	82657	14254	15807	16806	1416
6	chr1D	chr1D_part2	43273582	452179604	495453186	455588	412896	19626	11942	6429	1448	1945	1302	1416
7	chr2A	chr2A_part1	462376173	0	462376173	13089504	12411382	282548	119833	214999	22921	19695	18126	1408
8	chr2A	chr2A_part2	318422384	462376173	780798557	10848259	10203854	254367	110125	217612	24795	20879	16627	1408
9	chr2B	chr2B_part1	453218924	0	453218924	14597870	13740633	332460	147887	298282	31668	26218	20722	1408
10	chr2B	chr2B_part2	348037791	453218924	801256715	11617431	10864921	274047	122389	286847	29705	23317	16205	1408
11	chr2D	chr2D_part1	462216879	0	462216879	6464077	6063329	200602	92349	66140	11989	12878	16790	1416
12	chr2D	chr2D_part2	189635730	462216879	651852609	2045176	1897833	69113	36417	26239	4903	5293	5378	1416
13	chr3A	chr3A_part1	454103970	0	454103970	12907151	12240191	278444	135134	186562	21418	21259	24143	1408
14	chr3A	chr3A_part2	296739669	454103970	750843639	10451525	9789883	256823	110723	228675	26516	22563	16342	1408
15	chr3B	chr3B_part1	448155269	0	448155269	13436869	12707248	287528	118555	261150	25272	20224	16892	1408
16	chr3B	chr3B_part2	382674495	448155269	830829764	12648565	11853385	296412	126245	298493	30936	25138	17956	1408
17	chr3D	chr3D_part1	476235359	0	476235359	7031820	6603531	212562	99795	71272	12659	13341	18660	1416
18	chr3D	chr3D_part2	139317064	476235359	615552423	2131855	1959633	78851	44078	31573	5923	6528	5269	1416
19	chr4A	chr4A_part1	452555092	0	452555092	11812920	11265764	239165	98540	163165	16634	14598	15054	1408
20	chr4A	chr4A_part2	292033065	452555092	744588157	7704941	7227050	188786	88409	152332	18263	16520	13581	1408
21	chr4B	chr4B_part1	451014251	0	451014251	13208273	12492224	293030	133740	220601	24164	23803	20711	1408
22	chr4B	chr4B_part2	222603248	451014251	673617499	8180119	7681425	188250	81098	181739	18672	15843	13092	1408
23	chr4D	chr4D_part1	451004620	0	451004620	7093129	6678408	210270	90906	71484	11980	12226	17855	1416
24	chr4D	chr4D_part2	58852447	451004620	509857067	815123	751719	30068	15873	10552	2184	2445	2282	1416
25	chr5A	chr5A_part1	453230519	0	453230519	13067250	12378015	289116	128540	203733	23358	20777	23711	1408
26	chr5A	chr5A_part2	256543224	453230519	709773743	8344839	7779569	217402	93017	199003	23559	19183	13106	1408
27	chr5B	chr5B_part1	451372872	0	451372872	13736567	12994402	298590	132942	241789	25157	21276	22411	1408
28	chr5B	chr5B_part2	261776885	451372872	713149757	6756299	6287010	176210	79174	170168	18835	15242	9660	1408
29	chr5D	chr5D_part1	451901030	0	451901030	6793572	6353683	214904	102170	75729	13707	15013	18366	1416
30	chr5D	chr5D_part2	114179647	451901030	566080677	1496236	1375401	56461	31024	20544	4037	4649	4120	1416
31	chr6A	chr6A_part1	452440856	0	452440856	11910668	11329532	246529	111732	170153	18218	15644	18860	1408
32	chr6A	chr6A_part2	165638404	452440856	618079260	5336893	5005490	131193	57714	108829	13146	11658	8863	1408
33	chr6B	chr6B_part1	452077197	0	452077197	11898735	11238711	259101	110312	234548	23153	17992	14918	1408
34	chr6B	chr6B_part2	268911281	452077197	720988478	9277103	8706768	211796	85982	221089	22229	17269	11970	1408
35	chr6D	chr6D_part1	450509124	0	450509124	6406520	6005821	198679	91994	67706	12097	13294	16929	1416
36	chr6D	chr6D_part2	23083594	450509124	473592718	206247	187478	8882	5027	3140	614	687	419	1416
37	chr7A	chr7A_part1	450046986	0	450046986	14073406	13261826	324381	142759	266179	30331	25731	22199	1408
38	chr7A	chr7A_part2	286659250	450046986	736706236	9725572	9116645	233715	99205	217609	24487	19643	14268	1408
39	chr7B	chr7B_part1	453822637	0	453822637	14411603	13626171	315945	133979	264505	27190	22632	21181	1408
40	chr7B	chr7B_part2	296797748	453822637	750620385	8690672	8124172	208531	88754	216433	22301	17962	12519	1408
41	chr7D	chr7D_part1	453812268	0	453812268	6005177	5629758	186204	87598	62827	11275	12150	15365	1416
42	chr7D	chr7D_part2	184873787	453812268	638686055	2712913	2515172	93355	47669	35438	6598	7461	7220	1416
