VMap 3.2 is obtained by VMap 3.0 filtering the indels.

VMap 3.2 includs 1196 hexaploid wheat (AABBDD genome), 212 tetraploid wheat (AABB genome), and 220 Ae. tauschii (DD genome).

VMap 3.2 have a total of 344,460,342 biallelic SNPs.	

Contact											
yf.guo@genetics.ac.cn (Yafei Guo); songxycc@gmail.com (Xinyue Song); flu@genetics.ac.cn (Fei Lu)					
"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"								
Homepage: https://plantgeneticslab.github.io/home/										
					
I. Genetic variation summary											
================================================											
																	
Chr(42)	Chr(21)	Chr_Part	Length	Pos_StartIndex(Inclusive)	Pos_EndIndex(Exclusive)	TotalVariants	Num_taxa
1	chr1A	chr1A_part1	471304005	0	471304005	14197253	1408
2	chr1A	chr1A_part2	122798051	471304005	594102056	3656923	1408
3	chr1B	chr1B_part1	438720154	0	438720154	13454884	1408
4	chr1B	chr1B_part2	251131716	438720154	689851870	7705730	1408
5	chr1D	chr1D_part1	452179604	0	452179604	6684619	1416
6	chr1D	chr1D_part2	43273582	452179604	495453186	412896	1416
7	chr2A	chr2A_part1	462376173	0	462376173	12411382	1408
8	chr2A	chr2A_part2	318422384	462376173	780798557	10203854	1408
9	chr2B	chr2B_part1	453218924	0	453218924	13740633	1408
10	chr2B	chr2B_part2	348037791	453218924	801256715	10864921	1408
11	chr2D	chr2D_part1	462216879	0	462216879	6063329	1416
12	chr2D	chr2D_part2	189635730	462216879	651852609	1897833	1416
13	chr3A	chr3A_part1	454103970	0	454103970	12240191	1408
14	chr3A	chr3A_part2	296739669	454103970	750843639	9789883	1408
15	chr3B	chr3B_part1	448155269	0	448155269	12707248	1408
16	chr3B	chr3B_part2	382674495	448155269	830829764	11853385	1408
17	chr3D	chr3D_part1	476235359	0	476235359	6603531	1416
18	chr3D	chr3D_part2	139317064	476235359	615552423	1959633	1416
19	chr4A	chr4A_part1	452555092	0	452555092	11265764	1408
20	chr4A	chr4A_part2	292033065	452555092	744588157	7227050	1408
21	chr4B	chr4B_part1	451014251	0	451014251	12492224	1408
22	chr4B	chr4B_part2	222603248	451014251	673617499	7681425	1408
23	chr4D	chr4D_part1	451004620	0	451004620	6678408	1416
24	chr4D	chr4D_part2	58852447	451004620	509857067	751719	1416
25	chr5A	chr5A_part1	453230519	0	453230519	12378015	1408
26	chr5A	chr5A_part2	256543224	453230519	709773743	7779569	1408
27	chr5B	chr5B_part1	451372872	0	451372872	12994402	1408
28	chr5B	chr5B_part2	261776885	451372872	713149757	6287010	1408
29	chr5D	chr5D_part1	451901030	0	451901030	6353683	1416
30	chr5D	chr5D_part2	114179647	451901030	566080677	1375401	1416
31	chr6A	chr6A_part1	452440856	0	452440856	11329532	1408
32	chr6A	chr6A_part2	165638404	452440856	618079260	5005490	1408
33	chr6B	chr6B_part1	452077197	0	452077197	11238711	1408
34	chr6B	chr6B_part2	268911281	452077197	720988478	8706768	1408
35	chr6D	chr6D_part1	450509124	0	450509124	6005821	1416
36	chr6D	chr6D_part2	23083594	450509124	473592718	187478	1416
37	chr7A	chr7A_part1	450046986	0	450046986	13261826	1408
38	chr7A	chr7A_part2	286659250	450046986	736706236	9116645	1408
39	chr7B	chr7B_part1	453822637	0	453822637	13626171	1408
40	chr7B	chr7B_part2	296797748	453822637	750620385	8124172	1408
41	chr7D	chr7D_part1	453812268	0	453812268	5629758	1416
42	chr7D	chr7D_part2	184873787	453812268	638686055	2515172	1416
