VMap 3.0 is the raw version of the Wheat Genetic Variation Map 3 (VMap 3). 									
											
VMap 3.0 is built using reference IWGSC RefSeq v1.0, Aligner bwa (Version: 0.7.17-r1188) and caller FastCall 2 (TIGER_v1.0.3.jar). 

VMap 3.0 includes 1196 hexaploid wheat (AABBDD genome), 212 tetraploid wheat (AABB genome), and 220 Ae. tauschii (DD genome).

VMap 3.0 includes a total of 875,151,958 variants both biallelic and triallelic SNPs and Indels.	
											
Contact											
yf.guo@genetics.ac.cn (Yafei Guo); songxycc@gmail.com (Xinyue Song); flu@genetics.ac.cn (Fei Lu)					
"Institute of Genetics and Developmental Biology, Chinese Academy of Sciences"								
Homepage: https://plantgeneticslab.github.io/home/						
											
I. Genetic variation summary											
================================================											
																	
Chr(42)	Chr(21)	Chr_Part	Length	Pos_StartIndex(Inclusive)	Pos_EndIndex(Exclusive)	TotalVariants	N_BiSNPs	N_BiD	N_BiI	TiSNP	TiD	TiI	TiDI	Num_taxa
1	chr1A	chr1A_part1	471304005	0	471304005	30257403	27997437	717719	352918	851578	127522	136711	73518	1408
2	chr1A	chr1A_part2	122798051	471304005	594102056	10602349	9645993	286584	140879	385988	57619	58886	26400	1408
3	chr1B	chr1B_part1	438720154	0	438720154	32862955	30155542	788359	393059	1139674	156586	152477	77258	1408
4	chr1B	chr1B_part2	251131716	438720154	689851870	21773263	19860704	548945	268841	820927	113200	110207	50439	1408
5	chr1D	chr1D_part1	452179604	0	452179604	21569694	19713960	647902	348424	573573	101940	111435	72460	1416
6	chr1D	chr1D_part2	43273582	452179604	495453186	2616386	2339178	94870	56265	83035	15958	17013	10067	1416
7	chr2A	chr2A_part1	462376173	0	462376173	27563949	25516416	661105	330493	742541	115821	128801	68772	1408
8	chr2A	chr2A_part2	318422384	462376173	780798557	23645775	21705568	595621	301287	752969	113418	117915	58997	1408
9	chr2B	chr2B_part1	453218924	0	453218924	32970931	30305873	799200	399382	1084717	152425	150884	78450	1408
10	chr2B	chr2B_part2	348037791	453218924	801256715	31084058	28316815	785631	397972	1191327	163439	159206	69668	1408
11	chr2D	chr2D_part1	462216879	0	462216879	18395779	16867244	544300	279441	460743	84358	91978	67715	1416
12	chr2D	chr2D_part2	189635730	462216879	651852609	11013922	9904611	368911	209390	361193	64451	68900	36466	1416
13	chr3A	chr3A_part1	454103970	0	454103970	23647844	21991100	541135	279780	584962	89000	93501	68366	1408
14	chr3A	chr3A_part2	296739669	454103970	750843639	22944850	21056960	585212	284080	737157	110427	112857	58157	1408
15	chr3B	chr3B_part1	448155269	0	448155269	32093772	29531111	763469	376342	1048195	147348	157793	69514	1408
16	chr3B	chr3B_part2	382674495	448155269	830829764	31127455	28475516	777354	385050	1107136	154597	152632	75170	1408
17	chr3D	chr3D_part1	476235359	0	476235359	18624735	17111094	537775	276874	459958	82594	86987	69453	1416
18	chr3D	chr3D_part2	139317064	476235359	615552423	8157768	7345210	279672	157461	250413	46834	49381	28797	1416
19	chr4A	chr4A_part1	452555092	0	452555092	22263606	20812344	489667	242172	497798	76652	90094	54879	1408
20	chr4A	chr4A_part2	292033065	452555092	744588157	20867235	18960905	561437	295284	762623	114354	114116	58516	1408
21	chr4B	chr4B_part1	451014251	0	451014251	25706580	23877862	576674	283549	706167	97231	99239	65858	1408
22	chr4B	chr4B_part2	222603248	451014251	673617499	17077940	15707199	409977	196259	569849	76635	75644	42377	1408
23	chr4D	chr4D_part1	451004620	0	451004620	17082833	15798873	471727	224682	390155	67024	69241	61131	1416
24	chr4D	chr4D_part2	58852447	451004620	509857067	3022224	2738629	98914	53310	86345	16437	16834	11755	1416
25	chr5A	chr5A_part1	453230519	0	453230519	24223128	22526202	556956	269350	615220	91769	96112	67519	1408
26	chr5A	chr5A_part2	256543224	453230519	709773743	21179151	19366432	554135	267240	720965	108679	107528	54172	1408
27	chr5B	chr5B_part1	451372872	0	451372872	28515409	26396346	651844	321359	840148	116060	117816	71836	1408
28	chr5B	chr5B_part2	261776885	451372872	713149757	23090091	20941786	611815	309328	917754	128794	125754	54860	1408
29	chr5D	chr5D_part1	451901030	0	451901030	19418608	17813553	568520	289702	494753	88442	91432	72206	1416
30	chr5D	chr5D_part2	114179647	451901030	566080677	6325428	5707073	212192	118339	190616	36162	38007	23039	1416
31	chr6A	chr6A_part1	452440856	0	452440856	24261810	22468204	563462	289420	666861	101736	110490	61637	1408
32	chr6A	chr6A_part2	165638404	452440856	618079260	12339746	11304405	318236	159565	401303	61325	63282	31630	1408
33	chr6B	chr6B_part1	452077197	0	452077197	31172060	28625517	750349	373089	1055269	148776	148078	70982	1408
34	chr6B	chr6B_part2	268911281	452077197	720988478	22532823	20598570	555675	269130	830023	114273	113865	51287	1408
35	chr6D	chr6D_part1	450509124	0	450509124	18426954	16896220	541531	275040	472047	84881	88666	68569	1416
36	chr6D	chr6D_part2	23083594	450509124	473592718	1687517	1476731	66093	39702	71777	12955	14841	5418	1416
37	chr7A	chr7A_part1	450046986	0	450046986	30075310	27654777	746994	369160	938724	141811	145415	78429	1408
38	chr7A	chr7A_part2	286659250	450046986	736706236	22664502	20749188	582149	285212	760159	114459	115361	57974	1408
39	chr7B	chr7B_part1	453822637	0	453822637	28796085	26674924	663422	321427	823693	117491	121920	73208	1408
40	chr7B	chr7B_part2	296797748	453822637	750620385	25351656	23004101	661799	335585	1009162	140222	138128	62659	1408
41	chr7D	chr7D_part1	453812268	0	453812268	18631861	17034728	556682	292316	494454	89450	95963	68268	1416
